,State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness
63,AZ,Gila County,22.6,39868.0,2013,9.691666666666666,64.65,8.17,46269358.0,5.0,61.258541935483876
64,AZ,Graham County,21.6,43497.0,2013,7.8,64.65,8.17,46269358.0,5.0,70.38061224489796
65,AZ,Greenlee County,11.6,54673.0,2013,5.9833333333333325,64.65,8.17,46269358.0,5.0,68.59729857819906
66,AZ,La Paz County,23.2,33994.0,2013,8.233333333333333,64.65,8.17,46269358.0,5.0,61.61161187698834
67,AZ,Maricopa County,17.6,52066.0,2013,6.625,64.65,8.17,46269358.0,5.0,69.46320949432405
68,AZ,Mohave County,21.3,38560.0,2013,10.433333333333334,64.65,8.17,46269358.0,5.0,71.6530462184874
69,AZ,Navajo County,31.8,37182.0,2013,13.55,64.65,8.17,46269358.0,5.0,55.14856670341787
70,AZ,Pima County,19.3,43926.0,2013,6.808333333333334,64.65,8.17,46269358.0,5.0,69.68290775614427
71,AZ,Pinal County,16.7,49887.0,2013,8.125,64.65,8.17,46269358.0,5.0,70.1157603222558
72,AZ,Santa Cruz County,22.7,35753.0,2013,15.45,64.65,8.17,46269358.0,5.0,55.45694626474444
73,AZ,Yavapai County,16.4,40486.0,2013,7.791666666666668,64.65,8.17,46269358.0,5.0,69.93212194281779
74,AZ,Yuma County,19.2,40498.0,2013,25.575,64.65,8.17,46269358.0,5.0,70.13341708542714
75,AZ,Apache County,33.1,32366.0,2014,15.683333333333335,62.2,8.18,59156404.0,5.0,51.55869490946362
76,AZ,Cochise County,18.7,45025.0,2014,8.433333333333334,62.2,8.18,59156404.0,5.0,68.01216216216217
77,AZ,Coconino County,21.3,48653.0,2014,7.133333333333333,62.2,8.18,59156404.0,5.0,59.52813599062134
78,AZ,Gila County,24.4,37677.0,2014,8.325,62.2,8.18,59156404.0,5.0,59.09640947288006
79,AZ,Graham County,20.0,46046.0,2014,7.441666666666666,62.2,8.18,59156404.0,5.0,67.62362587306407
80,AZ,Greenlee County,10.3,59416.0,2014,6.666666666666668,62.2,8.18,59156404.0,5.0,66.24715127701376
81,AZ,La Paz County,22.8,32533.0,2014,7.616666666666667,62.2,8.18,59156404.0,5.0,59.34531506849315
82,AZ,Maricopa County,17.1,53929.0,2014,5.808333333333334,62.2,8.18,59156404.0,5.0,66.53564932702801
83,AZ,Mohave County,20.8,37704.0,2014,8.733333333333333,62.2,8.18,59156404.0,5.0,68.3507900677201
84,AZ,Navajo County,28.5,35457.0,2014,11.083333333333336,62.2,8.18,59156404.0,5.0,54.22
85,AZ,Pima County,18.7,45871.0,2014,6.05,62.2,8.18,59156404.0,5.0,66.77111111111111
86,AZ,Pinal County,17.6,49876.0,2014,7.0166666666666675,62.2,8.18,59156404.0,5.0,67.21665538253217
87,AZ,Santa Cruz County,23.6,37465.0,2014,12.95,62.2,8.18,59156404.0,5.0,53.83830369357045
88,AZ,Yavapai County,15.6,44145.0,2014,6.366666666666667,62.2,8.18,59156404.0,5.0,66.72139605462823
89,AZ,Yuma County,22.6,39700.0,2014,22.891666666666666,62.2,8.18,59156404.0,5.0,50.82755083348599
90,AZ,Apache County,33.2,34040.0,2016,11.633333333333333,63.4,8.25,48282977.0,5.0,54.78527881040892
91,AZ,Cochise County,21.1,45151.0,2016,6.333333333333332,63.4,8.25,48282977.0,5.0,60.964398541919806
92,AZ,Coconino County,17.8,53643.0,2016,6.125,63.4,8.25,48282977.0,5.0,67.95694879832811
93,AZ,Gila County,20.3,40747.0,2016,7.341666666666668,63.4,8.25,48282977.0,5.0,60.70414531202894
94,AZ,Graham County,22.9,46714.0,2016,6.8583333333333325,63.4,8.25,48282977.0,5.0,60.76114533744049
95,AZ,Greenlee County,12.0,61110.0,2016,7.675,63.4,8.25,48282977.0,5.0,68.08106734434561
96,AZ,La Paz County,24.8,34285.0,2016,6.125,63.4,8.25,48282977.0,5.0,60.94405820533549
97,AZ,Maricopa County,15.0,58742.0,2016,4.658333333333333,63.4,8.25,48282977.0,5.0,66.95447223399745
