State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings,TotalCrime,StateCrime,CrimeScore
AZ,Yuma County,22.3,37894.0,2011,24.016666666666666,66.6,8.9,48652319.0,5.0,72.38163008276358,202841,3.13,762338.1235670653,111412.2,0.0,30142.0,0.0
AZ,Apache County,33.2,32886.0,2012,18.95833333333333,67.1,8.16,48357880.0,5.0,55.03257708899184,72229,1.1,266426.62374458014,35275.4,259.0,21670.0,-863.2815413013382
AZ,Cochise County,18.8,43017.0,2012,9.025,67.1,8.16,48357880.0,5.0,73.19775381850853,132017,2.01,486962.90391516185,74485.7,1185.0,21670.0,-7219.20373788648
AZ,Coconino County,24.6,45509.0,2012,8.591666666666667,67.1,8.16,48357880.0,5.0,63.91614361034396,136146,2.08,502193.28962507576,76334.4,576.0,21670.0,-3618.8323027226584
AZ,Gila County,21.3,38267.0,2012,10.208333333333334,67.1,8.16,48357880.0,5.0,74.00095212906638,52994,0.81,195475.67457282086,26125.0,448.0,21670.0,-1095.5843101061375
AZ,Graham County,25.4,41080.0,2012,8.5,67.1,8.16,48357880.0,5.0,63.91563421828908,37015,0.56,136534.93026216107,17998.7,218.0,21670.0,-372.3705583756345
AZ,Greenlee County,12.0,53312.0,2012,8.225,67.1,8.16,48357880.0,5.0,71.98009888751545,8764,0.13,32327.22217526893,4368.1,146.0,21670.0,-59.04679280110752
AZ,La Paz County,24.5,35236.0,2012,8.541666666666666,67.1,8.16,48357880.0,5.0,63.933228247162674,20521,0.31,75694.53745535073,19161.5,470.0,21670.0,-445.07937240424553
AZ,Maricopa County,17.4,51442.0,2012,7.291666666666668,67.1,8.16,48357880.0,5.0,72.23837327033411,3947505,60.22,14560916.382129734,3046180.7,0.0,21670.0,0.0
AZ,Mohave County,21.1,34966.0,2012,11.033333333333333,67.1,8.16,48357880.0,5.0,74.34491701244814,203347,3.1,750073.4422266559,109878.9,2413.0,21670.0,-22643.115413013384
AZ,Navajo County,30.3,34662.0,2012,14.133333333333333,67.1,8.16,48357880.0,5.0,57.4621905476369,107313,1.64,395838.7943056407,52975.8,654.0,21670.0,-3238.703368712506
AZ,Pima County,19.9,44745.0,2012,7.3916666666666675,67.1,8.16,48357880.0,5.0,72.48970992366412,993052,15.15,3663009.2007753495,519705.1,12323.0,21670.0,-564715.2651592062
