State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings
AZ,La Paz County,24.5,35236.0,2012,8.541666666666666,67.1,8.16,48357880.0,5.0,63.933228247162674,20521,0.31,75694.53745535073,19161.5
AZ,Maricopa County,17.4,51442.0,2012,7.291666666666668,67.1,8.16,48357880.0,5.0,72.23837327033411,3947505,60.22,14560916.382129734,3046180.7
AZ,Mohave County,21.1,34966.0,2012,11.033333333333333,67.1,8.16,48357880.0,5.0,74.34491701244814,203347,3.1,750073.4422266559,109878.9
AZ,Navajo County,30.3,34662.0,2012,14.133333333333333,67.1,8.16,48357880.0,5.0,57.4621905476369,107313,1.64,395838.7943056407,52975.8
AZ,Pima County,19.9,44745.0,2012,7.3916666666666675,67.1,8.16,48357880.0,5.0,72.48970992366412,993052,15.15,3663009.2007753495,519705.1
AZ,Pinal County,17.7,50362.0,2012,8.533333333333333,67.1,8.16,48357880.0,5.0,72.85756035578144,382251,5.83,1409985.509324364,198371.4
AZ,Santa Cruz County,24.8,36660.0,2012,15.458333333333336,67.1,8.16,48357880.0,5.0,57.57733388532394,47359,0.72,174690.20025086278,23189.5
AZ,Yavapai County,15.7,43397.0,2012,8.591666666666667,67.1,8.16,48357880.0,5.0,72.65289879931389,211990,3.23,781954.3392212758,114209.0
AZ,Yuma County,21.9,39072.0,2012,23.766666666666666,67.1,8.16,48357880.0,5.0,72.79879562043796,202475,3.09,746856.950015698,109529.3
AZ,Apache County,38.7,30252.0,2013,18.516666666666666,64.65,8.17,46269358.0,5.0,52.12576463734344,72322,1.09,252254.75452435817,33544.5
AZ,Cochise County,18.8,45294.0,2013,9.258333333333333,64.65,8.17,46269358.0,5.0,70.8533858033858,129578,1.95,451960.21379051026,69826.9
AZ,Coconino County,23.2,48732.0,2013,8.2,64.65,8.17,46269358.0,5.0,61.62070063694268,136699,2.06,476797.8303797632,73188.0
AZ,Gila County,22.6,39868.0,2013,9.691666666666666,64.65,8.17,46269358.0,5.0,61.25854193548388,53005,0.8,184878.2288040099,24301.0
AZ,Graham County,21.6,43497.0,2013,7.8,64.65,8.17,46269358.0,5.0,70.38061224489796,37433,0.56,130564.03620074526,26660.8
AZ,Greenlee County,11.6,54673.0,2013,5.9833333333333325,64.65,8.17,46269358.0,5.0,68.59729857819906,8916,0.13,31098.467842968632,4233.2
AZ,La Paz County,23.2,33994.0,2013,8.233333333333333,64.65,8.17,46269358.0,5.0,61.61161187698834,20522,0.31,71579.49271796795,9019.3
AZ,Maricopa County,17.6,52066.0,2013,6.625,64.65,8.17,46269358.0,5.0,69.46320949432405,4017723,60.57,14013574.418736592,2972901.5
AZ,Mohave County,21.3,38560.0,2013,10.433333333333334,64.65,8.17,46269358.0,5.0,71.6530462184874,203126,3.06,708491.1820402475,104315.7
AZ,Navajo County,31.8,37182.0,2013,13.55,64.65,8.17,46269358.0,5.0,55.14856670341786,107135,1.62,373680.3894522706,59204.0
AZ,Pima County,19.3,43926.0,2013,6.808333333333334,64.65,8.17,46269358.0,5.0,69.68290775614427,997127,15.03,3477918.567166418,494894.9
AZ,Pinal County,16.7,49887.0,2013,8.125,64.65,8.17,46269358.0,5.0,70.1157603222558,385398,5.81,1344244.8754760458,189498.4
AZ,Santa Cruz County,22.7,35753.0,2013,15.45,64.65,8.17,46269358.0,5.0,55.45694626474443,46939,0.71,163720.38829980986,21806.3
AZ,Yavapai County,16.4,40486.0,2013,7.791666666666668,64.65,8.17,46269358.0,5.0,69.93212194281779,214421,3.23,747887.457756525,109647.1
AZ,Yuma County,19.2,40498.0,2013,25.575,64.65,8.17,46269358.0,5.0,70.13341708542714,202420,3.05,706028.6968117665,104044.0
AZ,Apache County,33.1,32366.0,2014,15.683333333333335,62.2,8.18,59156404.0,5.0,51.55869490946362,71796,1.07,315522.4784559283,51645.8
AZ,Cochise County,18.7,45025.0,2014,8.433333333333334,62.2,8.18,59156404.0,5.0,68.01216216216217,127314,1.89,559507.8948985746,84289.7
