,State,Happiness Score,Year
228,MD,61.7,2014
229,GA,61.6,2014
230,NV,61.5,2014
231,KS,61.2,2014
232,NY,61.2,2014
233,NJ,61.2,2014
234,PA,61.2,2014
235,IL,61.1,2014
236,RI,61.1,2014
237,DE,61.1,2014
238,OK,61.0,2014
239,LA,60.9,2014
240,MO,60.8,2014
241,MI,60.7,2014
242,AR,60.7,2014
243,TN,60.6,2014
244,AL,60.3,2014
245,MS,60.2,2014
246,OH,60.1,2014
247,IN,60.0,2014
248,KY,59.8,2014
249,WV,59.0,2014
250,HI,64.8,2015
251,AK,64.1,2015
252,MT,63.8,2015
253,CO,63.6,2015
254,WY,63.5,2015
255,SD,63.5,2015
256,MN,63.3,2015
257,UT,63.1,2015
258,AZ,63.0,2015
259,CA,62.7,2015
260,OR,61.7,2015
261,NJ,61.6,2015
262,PA,61.6,2015
263,MD,61.6,2015
264,IL,61.5,2015
265,ID,61.5,2015
266,TN,61.5,2015
267,NV,61.5,2015
268,MI,61.3,2015
269,NY,61.2,2015
270,TX,62.7,2015
271,FL,62.4,2015
272,WI,62.4,2015
273,IA,62.4,2015
274,ND,62.3,2015
275,NM,62.2,2015
276,VA,62.2,2015
277,CT,62.2,2015
278,SC,62.2,2015
279,NE,62.1,2015
280,GA,61.2,2015
281,LA,61.1,2015
282,MS,60.9,2015
283,AR,60.9,2015
284,MO,60.8,2015
285,IN,60.5,2015
286,OH,60.5,2015
287,OK,60.4,2015
288,KY,60.3,2015
289,WV,58.5,2015
290,NH,62.1,2015
291,ME,62.1,2015
292,NC,62.1,2015
293,WA,62.0,2015
294,KS,62.0,2015
295,RI,61.9,2015
296,DE,61.9,2015
297,AL,61.8,2015
298,VT,61.8,2015
299,MA,61.8,2015
300,HI,65.2,2016
301,AK,64.0,2016
302,SD,63.7,2016
303,ME,63.6,2016
304,CO,63.5,2016
305,VT,63.5,2016
306,AZ,63.4,2016
307,MT,63.2,2016
308,MN,63.2,2016
309,TX,63.1,2016
310,FL,63.1,2016
311,WY,63.0,2016
312,CA,63.0,2016
313,MA,63.0,2016
314,NE,62.9,2016
315,ND,62.8,2016
316,UT,62.8,2016
317,ID,62.7,2016
318,IA,62.6,2016
319,NM,62.6,2016
320,VA,62.6,2016
321,NH,62.6,2016
322,WA,62.5,2016
323,OR,62.5,2016
324,NJ,62.5,2016
325,NC,62.4,2016
326,SC,62.3,2016
327,WI,62.3,2016
328,GA,62.3,2016
329,PA,62.1,2016
330,MD,62.0,2016
331,KS,61.8,2016
332,NY,61.8,2016
333,NV,61.8,2016
334,CT,61.7,2016
335,MO,61.7,2016
336,IL,61.6,2016
337,TN,61.5,2016
338,MI,61.4,2016
339,DE,61.4,2016
340,MS,61.3,2016
341,RI,61.3,2016
342,LA,61.0,2016
343,AL,61.0,2016
344,OH,60.9,2016
345,AR,60.8,2016
346,IN,60.5,2016
347,OK,60.5,2016
348,KY,60.5,2016
349,WV,58.9,2016
350,AK,45.43,2017
351,AL,36.6,2017
352,AR,37.33,2017
353,AZ,56.97,2017
354,CA,66.55,2017
355,CO,60.84,2017
356,CT,60.06,2017
357,DE,50.65,2017
358,FL,51.83,2017
359,GA,53.03,2017
360,HI,67.9,2017
361,IA,64.52,2017
362,ID,60.14,2017
363,IL,59.41,2017
364,IN,50.87,2017
365,KS,54.64,2017
366,KY,41.69,2017
367,LA,35.35,2017
368,MA,59.42,2017
369,MD,63.18,2017
370,ME,55.44,2017
371,MI,53.09,2017
372,MN,70.81,2017
373,MO,43.86,2017
374,MS,38.89,2017
375,MT,55.66,2017
376,NC,54.68,2017
377,ND,61.08,2017
378,NE,65.65,2017
379,NH,63.47,2017
380,NJ,64.97,2017
381,NM,45.53,2017
382,NV,48.95,2017
383,NY,56.54,2017
384,OH,49.67,2017
385,OK,34.97,2017
386,OR,51.72,2017
387,PA,55.66,2017
388,RI,51.17,2017
389,SC,48.55,2017
390,SD,64.71,2017
391,TN,44.29,2017
392,TX,54.64,2017
393,UT,68.16,2017
394,VA,62.43,2017
395,VT,61.34,2017
396,WA,60.35,2017
397,WI,64.16,2017
398,WV,34.89,2017
399,WY,46.96,2017
400,MN,69.035,2018
401,HI,68.08500000000001,2018
402,UT,68.0,2018
403,CA,64.845,2018
404,ND,63.35,2018
405,IA,62.795,2018
406,SD,62.754999999999995,2018
407,MD,62.480000000000004,2018
408,NE,62.38,2018
409,ID,61.615,2018
410,NJ,61.535,2018
411,WI,61.515,2018
412,VA,59.89,2018
413,CT,59.150000000000006,2018
414,WA,58.394999999999996,2018
415,MA,58.135000000000005,2018
416,CO,58.11,2018
417,NH,57.92,2018
418,NY,56.945,2018
419,IL,55.94,2018
420,AZ,54.945,2018
421,VT,54.760000000000005,2018
422,NC,54.185,2018
423,GA,54.09,2018
424,TX,53.6,2018
425,KS,53.47,2018
426,MT,53.37,2018
427,PA,53.099999999999994,2018
428,ME,52.625,2018
429,FL,51.42,2018
430,MI,51.30500000000001,2018
431,DE,51.16,2018
432,RI,50.805,2018
433,IN,50.535,2018
434,NV,50.375,2018
435,OR,49.885,2018
436,OH,48.93,2018
437,SC,48.405,2018
438,WY,47.93,2018
439,TN,45.21,2018
440,NM,44.44,2018
441,MO,43.31,2018
442,AK,41.82,2018
443,KY,40.555,2018
444,MS,40.260000000000005,2018
445,AL,37.975,2018
446,AR,36.97,2018
447,OK,36.93,2018
448,LA,36.25,2018
449,WV,34.155,2018
450,HI,68.27,2019
451,UT,67.84,2019
452,MN,67.26,2019
453,ND,65.62,2019
454,CA,63.14,2019
455,ID,63.09,2019
456,MD,61.78,2019
457,IA,61.07,2019
458,SD,60.8,2019
459,NE,59.11,2019
460,WI,58.87,2019
