,STATE,YEAR,SALES_DOLLARS
198,ME,2014,6088492.0
199,ME,2015,4033224.0
200,ME,2016,5236203.0
201,ME,2017,4813687.0
202,ME,2018,12569518.0
203,ME,2019,9323258.0
204,ME,2020,206990.0
205,MI,2010,122429693.0
206,MI,2011,170135190.0
207,MI,2012,146345438.0
208,MI,2013,128854211.0
209,MI,2014,150463468.0
210,MI,2015,99741239.0
211,MI,2016,125206621.0
212,MI,2017,109241508.0
213,MI,2018,201746160.0
214,MI,2019,141301796.0
215,MI,2020,3479702.0
216,MN,2010,11762138.0
217,MN,2011,20835686.0
218,MN,2012,24354492.0
219,MN,2013,22760733.0
220,MN,2014,28980818.0
221,MN,2015,16725566.0
222,MN,2016,20484395.0
223,MN,2017,17892776.0
224,MN,2018,46106376.0
225,MN,2019,30143258.0
226,MN,2020,606754.0
227,MO,2010,21805673.0
228,MO,2011,35488740.0
229,MO,2012,39120955.0
230,MO,2013,36018369.0
231,MO,2014,46311824.0
232,MO,2015,29589265.0
233,MO,2016,38172033.0
234,MO,2017,34779572.0
235,MO,2018,75201326.0
236,MO,2019,56420562.0
237,MO,2020,1174516.0
238,MT,2010,1413181.0
239,MT,2011,3240364.0
240,MT,2012,4521677.0
241,MT,2013,3743312.0
242,MT,2014,4479368.0
243,MT,2015,2601820.0
244,MT,2016,3139858.0
245,MT,2017,2955799.0
246,MT,2018,7665202.0
247,MT,2019,5086978.0
248,MT,2020,115080.0
249,NC,2010,39543900.0
250,NC,2011,63759289.0
251,NC,2012,66824116.0
252,NC,2013,59423912.0
253,NC,2014,67327958.0
254,NC,2015,46067924.0
255,NC,2016,55604189.0
256,NC,2017,49770285.0
257,NC,2018,122282820.0
258,NC,2019,86577138.0
259,NC,2020,2141352.0
260,ND,2010,2222370.0
261,ND,2011,3276944.0
262,ND,2012,4264900.0
263,ND,2013,3700804.0
264,ND,2014,5144783.0
265,ND,2015,3489118.0
266,ND,2016,3964049.0
267,ND,2017,3436731.0
268,ND,2018,9068818.0
269,ND,2019,5733652.0
270,ND,2020,120030.0
271,NE,2010,5027968.0
272,NE,2011,10400217.0
273,NE,2012,11741076.0
274,NE,2013,11036283.0
275,NE,2014,14354883.0
276,NE,2015,9747790.0
277,NE,2016,12204473.0
278,NE,2017,10764636.0
279,NE,2018,21670249.0
280,NE,2019,19063238.0
281,NE,2020,426612.0
282,NH,2010,5557444.0
283,NH,2011,12125927.0
284,NH,2012,12855361.0
285,NH,2013,11377123.0
286,NH,2014,14528656.0
287,NH,2015,9813164.0
288,NH,2016,12641975.0
289,NH,2017,10956584.0
290,NH,2018,27673462.0
291,NH,2019,21480976.0
292,NH,2020,485174.0
293,NJ,2010,168963879.0
294,NJ,2011,234061175.0
295,NJ,2012,200326684.0
296,NJ,2013,184272432.0
297,NJ,2014,209714405.0
298,NJ,2015,131536683.0
299,NJ,2016,164601024.0
300,NJ,2017,137436415.0
301,NJ,2018,264865643.0
302,NJ,2019,189953158.0
303,NJ,2020,4350108.0
304,NM,2010,6236881.0
305,NM,2011,10297438.0
306,NM,2012,11905645.0
307,NM,2013,10654512.0
308,NM,2014,13419629.0
309,NM,2015,8471574.0
310,NM,2016,10445532.0
311,NM,2017,8804939.0
312,NM,2018,20300689.0
313,NM,2019,13344152.0
314,NM,2020,312919.0
315,NY,2010,314269503.0
316,NY,2011,460879321.0
317,NY,2012,396804632.0
318,NY,2013,355866689.0
319,NY,2014,403479979.0
320,NY,2015,249952623.0
321,NY,2016,305896212.0
322,NY,2017,257052058.0
323,NY,2018,477468556.0
324,NY,2019,358209630.0
325,NY,2020,8486230.0
326,OH,2010,132512121.0
327,OH,2011,158388018.0
328,OH,2012,142111071.0
329,OH,2013,116328092.0
330,OH,2014,136070951.0
331,OH,2015,87714400.0
